Test Leap Motion Data
Time min, sec, ms,X,Y,Z,Roll,Pitch,Yaw,time from start
9,24,267,-2.3185,-0.269006,41.5478,0.421817,-0.0962637,0.204162,4.159,
9,24,267,-2.32375,-0.285442,41.6938,0.422105,-0.0928137,0.204471,4.178,
9,24,267,-2.32375,-0.285442,41.6938,0.422105,-0.0928137,0.204471,4.196,
9,24,267,-2.382,-0.279022,42.0564,0.420864,-0.0880534,0.208625,4.216,
9,24,267,-2.41525,-0.271382,42.1912,0.420784,-0.0859764,0.210949,4.235,
9,24,267,-2.449,-0.279342,42.3254,0.421003,-0.0834464,0.212271,4.255,
9,24,267,-2.46925,-0.307327,42.4544,0.422469,-0.0769347,0.211804,4.274,
9,24,267,-2.46425,-0.33535,42.6724,0.418995,-0.0725505,0.208307,4.296,
9,24,267,-2.46425,-0.361983,42.8332,0.413954,-0.0713862,0.205765,4.317,
9,24,267,-2.4765,-0.389885,42.9879,0.41047,-0.0710936,0.203989,4.335,
9,24,267,-2.512,-0.419221,43.1896,0.408979,-0.0713781,0.203641,4.354,
9,24,267,-2.53075,-0.435358,43.3051,0.40701,-0.0683739,0.204078,4.374,
9,24,267,-2.54225,-0.448104,43.4026,0.407174,-0.0648483,0.20459,4.393,
9,24,267,-2.543,-0.48067,43.5057,0.408724,-0.0603709,0.204749,4.414,
9,24,267,-2.51225,-0.586897,43.6542,0.408551,-0.0538872,0.202816,4.435,
9,24,267,-2.49275,-0.684571,43.7455,0.411745,-0.0485118,0.201642,4.452,
9,24,267,-2.473,-0.803105,43.8252,0.417287,-0.0411012,0.199433,4.472,
9,24,267,-2.455,-0.936685,43.8893,0.42419,-0.0332089,0.19944,4.494,
9,24,267,-2.4955,-1.14228,43.9292,0.438892,-0.0170046,0.204714,4.517,
9,24,267,-2.532,-1.28058,43.9652,0.449643,-0.0074296,0.206767,4.535,
9,24,267,-2.56025,-1.5112,44.0677,0.464873,0.000436485,0.204538,4.555,
9,24,267,-2.602,-1.65293,44.1473,0.470388,-0.000785589,0.206102,4.574,
9,24,267,-2.66675,-1.76504,44.1921,0.477899,-0.00440747,0.208839,4.593,
9,24,267,-2.725,-1.88931,44.2043,0.48641,-0.00178367,0.213323,4.612,
9,24,267,-2.74175,-2.07244,44.2266,0.498109,0.00437081,0.215645,4.633,
9,24,267,-2.742,-2.16544,44.2521,0.503992,0.00573206,0.215115,4.652,
9,24,267,-2.7345,-2.24786,44.2673,0.508372,0.00696295,0.216326,4.67,
9,24,267,-2.70775,-2.35839,44.2714,0.513114,0.0111629,0.213418,4.688,
9,24,267,-2.6605,-2.4655,44.2708,0.520239,0.0166399,0.205174,4.709,
9,24,267,-2.55775,-2.64146,44.3081,0.531048,0.0196241,0.195994,4.733,
9,24,267,-2.47225,-2.78156,44.3494,0.54194,0.02377,0.191454,4.751,
9,24,267,-2.31975,-3.01127,44.4205,0.557123,0.0343194,0.187883,4.77,
9,24,267,-2.2265,-3.13076,44.4676,0.561563,0.0367312,0.187092,4.79,
9,24,267,-2.1605,-3.20713,44.4958,0.561978,0.0343987,0.190017,4.81,
9,24,267,-2.0915,-3.28281,44.5187,0.562627,0.0339361,0.190162,4.831,
9,24,267,-2.0105,-3.36388,44.5303,0.565015,0.0325027,0.190862,4.851,
9,24,267,-1.94475,-3.4238,44.5285,0.565194,0.0309499,0.188544,4.872,
9,24,267,-1.84375,-3.50285,44.5401,0.56977,0.0275193,0.184005,4.894,
9,24,267,-1.80975,-3.52331,44.5427,0.571501,0.0263691,0.18137,4.914,
9,24,267,-1.7775,-3.43963,44.5316,0.549399,0.00473374,0.182504,4.934,
9,24,267,-1.69925,-3.37444,44.5,0.544093,0.000327408,0.172345,4.953,
9,24,267,-1.66475,-3.36053,44.4966,0.543553,-9.11355e-05,0.169141,4.972,
9,24,267,-1.634,-3.34523,44.4921,0.545551,0.00142306,0.165837,4.991,
9,24,267,-1.60575,-3.33546,44.4925,0.547048,0.0021292,0.164621,5.009,
9,24,267,-1.579,-3.3353,44.4858,0.548101,0.00350505,0.163802,5.028,
9,24,267,-1.548,-3.33886,44.4806,0.550597,0.00569397,0.162005,5.047,
9,24,267,-1.47325,-3.36627,44.4887,0.556095,0.00943643,0.155614,5.066,
9,24,267,-1.40625,-3.39768,44.5028,0.559192,0.0101649,0.150909,5.084,
9,24,267,-1.3465,-3.43317,44.5198,0.561331,0.00945628,0.148078,5.102,
9,24,267,-1.279,-3.47445,44.5393,0.561882,0.00783539,0.144486,5.123,
9,24,267,-1.20875,-3.53582,44.5525,0.558271,0.00364041,0.142469,5.145,
9,24,267,-1.159,-3.58181,44.5663,0.558754,0.00163513,0.140312,5.164,
9,24,267,-1.115,-3.63386,44.5817,0.557752,5.65648e-05,0.136964,5.183,
9,24,267,-1.08,-3.68261,44.6092,0.553008,-0.00291806,0.136553,5.202,
9,24,267,-1.053,-3.67788,44.6619,0.549088,-0.00322551,0.138563,5.222,
9,24,267,-1.043,-3.64615,44.7259,0.549235,0.00209528,0.140921,5.242,
9,24,267,-1.05275,-3.56632,44.8132,0.550848,0.0104709,0.143688,5.261,
9,24,267,-1.092,-3.44928,44.9064,0.553557,0.0208169,0.145413,5.283,
9,24,267,-1.206,-3.21611,45.0627,0.552745,0.0345767,0.15107,5.302,
9,24,267,-1.329,-3.02639,45.1279,0.560163,0.0483037,0.150611,5.322,
9,24,267,-1.43025,-2.84011,45.255,0.567304,0.0603133,0.154352,5.341,
9,24,267,-1.49775,-2.55494,45.4939,0.566528,0.0793294,0.162615,5.361,
9,24,267,-1.53725,-2.30161,45.6652,0.557124,0.0851378,0.175576,5.382,
9,24,267,-1.5175,-2.01402,45.8828,0.550051,0.0796636,0.197853,5.401,
9,24,267,-1.495,-1.70654,46.0419,0.567068,0.11015,0.19158,5.42,
9,24,267,-1.32775,-1.34261,46.3017,0.542884,0.0980196,0.211121,5.439,
9,24,267,-1.20875,-1.0409,46.4803,0.539113,0.108954,0.213217,5.459,
9,24,267,-1.03125,-0.606717,46.6193,0.535599,0.118382,0.217659,5.478,
9,24,267,-0.81325,0.0842772,46.7077,0.542277,0.13708,0.222523,5.499,
9,24,267,-0.60875,0.512661,46.6997,0.546894,0.147491,0.234627,5.521,
9,24,267,-0.1545,1.09454,46.586,0.559024,0.168388,0.243373,5.544,
9,24,267,0.224751,1.71079,46.4294,0.551324,0.175654,0.238421,5.566,
9,24,267,0.861,2.93787,46.3093,0.569002,0.195389,0.217426,5.586,
9,24,267,1.26875,3.84116,46.1408,0.575969,0.208956,0.205033,5.606,
9,24,267,1.621,5.05965,45.8963,0.568836,0.198532,0.193775,5.627,
9,24,267,1.94359,6.57713,45.3823,0.540266,0.200841,0.190508,5.647,
9,24,267,1.77697,6.46449,44.8813,0.519286,0.1951,0.192755,5.666,
9,24,267,1.66464,6.34906,44.4186,0.488618,0.184085,0.200037,5.684,
9,24,267,1.53271,6.2571,44.0142,0.464106,0.181955,0.197674,5.704,
9,24,267,1.47498,6.16217,43.6588,0.443117,0.167896,0.19689,5.725,
9,24,267,1.39117,6.03152,43.1621,0.414983,0.145488,0.184641,5.745,
9,24,267,1.33158,5.91436,42.7244,0.41007,0.136442,0.178426,5.765,
9,24,267,1.28581,5.78871,42.2638,0.397428,0.125442,0.174405,5.783,
9,24,267,1.22784,5.6306,41.6765,0.387025,0.107832,0.160265,5.803,
