Test motor Data
q1,q2,q3,q6,q7
7.64427,12.5661,11.0679,2.15099,0.0165864,
7.51948,12.4405,10.9714,2.1407,0.0145983,
7.41328,12.3153,10.8666,2.13212,0.0135673,
7.30061,12.1483,10.7282,2.12422,0.0131071,
7.25474,12.0687,10.677,2.12137,0.0139908,
7.21066,11.9812,10.5886,2.11833,0.01504,
7.1585,11.8525,10.4857,2.11504,0.0172859,
7.131,11.7778,10.4106,2.11323,0.0192373,
7.10102,11.6654,10.2912,2.11077,0.0232505,
7.08118,11.5654,10.1728,2.10896,0.0280184,
7.07209,11.5012,10.0896,2.10793,0.0315713,
7.06217,11.4132,9.9624,2.10657,0.037186,
7.05643,11.3365,9.83627,2.10543,0.0422853,
7.05338,11.2725,9.71547,2.10454,0.046685,
7.05181,11.2135,9.58576,2.10364,0.0506613,
7.0512,11.1607,9.44575,2.10287,0.0541406,
7.05064,11.1222,9.3151,2.10215,0.0564786,
7.05036,11.0924,9.19432,2.10156,0.0579697,
7.04811,11.0722,9.08402,2.10092,0.0589821,
7.04642,11.063,9.01721,2.10055,0.0590374,
7.04321,11.0537,8.92573,2.09994,0.0590374,
7.03824,11.0471,8.83386,2.09926,0.0576567,
7.03282,11.0441,8.75886,2.09854,0.0547665,
7.0271,11.0433,8.69676,2.09775,0.0502747,
7.0214,11.0432,8.64751,2.09703,0.0441262,
7.01585,11.0435,8.60932,2.09622,0.0359342,
7.01013,11.0434,8.58013,2.09538,0.0256804,
7.00591,11.0423,8.56299,2.0946,0.0158868,
7.00286,11.0398,8.55268,2.0937,0.00484151,
7.00113,11.0366,8.54923,2.09282,-0.00331366,
7.00038,11.0326,8.54843,2.09195,-0.0108797,
7.00038,11.0285,8.54907,2.09112,-0.0166417,
7.00038,11.0248,8.55015,2.0903,-0.0208205,
7.00197,11.0199,8.55108,2.08938,-0.0240421,
7.00321,11.0159,8.55132,2.08851,-0.0262327,
7.00457,11.0124,8.55059,2.08765,-0.0275582,
7.00605,11.009,8.54815,2.0866,-0.0287179,
7.00727,11.0065,8.54475,2.08566,-0.0295647,
7.00825,11.0049,8.54046,2.08477,-0.0307613,
7.00884,11.0035,8.53552,2.08393,-0.0326943,
7.00935,11.003,8.52989,2.08308,-0.0353084,
7.00935,11.003,8.52405,2.08231,-0.0384194,
7.00935,11.0041,8.51786,2.08159,-0.042046,
7.00935,11.0041,8.51458,2.08105,-0.0451571,
7.00825,11.006,8.50999,2.08036,-0.0488021,
7.00743,11.0072,8.50649,2.07958,-0.0528152,
7.00663,11.008,8.50441,2.07877,-0.0563865,
7.00621,11.0087,8.50328,2.0782,-0.0585404,
7.00544,11.0098,8.50237,2.07723,-0.0605286,
7.00488,11.0105,8.50227,2.07625,-0.0611176,
7.00488,11.0105,8.50227,2.07562,-0.0611176,
7.00474,11.0095,8.5045,2.07446,-0.060234,
7.00445,11.0098,8.50492,2.07325,-0.0588349,
7.00417,11.0101,8.50558,2.07205,-0.0568652,
7.00413,11.0097,8.50652,2.07076,-0.0546929,
7.00413,11.0094,8.50715,2.06924,-0.0522077,
7.00525,11.008,8.50783,2.06763,-0.049833,
7.00525,11.0079,8.50823,2.06596,-0.0476791,
7.00525,11.0079,8.50823,2.06406,-0.0458198,
7.00525,11.0079,8.50823,2.06259,-0.0449178,
7.00525,11.0079,8.50823,2.06046,-0.0440525,
7.00525,11.0079,8.50823,2.05808,-0.0440525,
7.00525,11.0079,8.50823,2.05523,-0.0440525,
7.00525,11.0079,8.50713,2.05208,-0.0449178,
7.00525,11.0079,8.50713,2.04878,-0.0458382,
7.00525,11.0079,8.50713,2.04543,-0.0469244,
7.00525,11.0079,8.50661,2.04264,-0.0477527,
7.00525,11.0079,8.50642,2.04013,-0.0484523,
7.00525,11.0079,8.50612,2.03538,-0.0493912,
7.00525,11.0079,8.506,2.03008,-0.0500723,
7.00525,11.0079,8.506,2.02487,-0.0505694,
7.00525,11.0079,8.506,2.01861,-0.0511952,
7.00525,11.0079,8.506,2.01195,-0.0518579,
7.00525,11.0079,8.506,2.00488,-0.0525759,
