Test PMAC Forward Kinematics Motion Data
Time min, sec, ms,X,Y,Z,Roll,Pitch,Yaw,time from start
9,24,267,-1.7982,-0.886637,38.5628,0.42913,-0.0450527,-0.0911803,3.904,
9,24,267,-1.8282,-0.846726,38.6732,0.429001,-0.0429196,-0.0924622,3.924,
9,24,267,-1.85818,-0.804136,38.7846,0.429001,-0.0406607,-0.0937343,3.943,
9,24,267,-1.88446,-0.764565,38.8846,0.429001,-0.0385748,-0.0948391,3.963,
9,24,267,-1.91055,-0.722885,38.9856,0.429001,-0.0363885,-0.0959203,3.981,
9,24,267,-1.93605,-0.680752,39.0895,0.429001,-0.0341885,-0.0969645,4,
9,24,267,-1.95846,-0.642102,39.1869,0.429001,-0.0321783,-0.0978664,4.019,
9,24,267,-1.98068,-0.601312,39.287,0.429001,-0.0300701,-0.0987564,4.039,
9,24,267,-2.00217,-0.560598,39.3876,0.429001,-0.0279715,-0.0995952,4.058,
9,24,267,-2.02391,-0.518482,39.4932,0.428983,-0.0258065,-0.10042,4.078,
9,24,267,-2.04374,-0.477141,39.5972,0.428155,-0.0236945,-0.101163,4.101,
9,24,267,-2.06161,-0.440944,39.6981,0.427326,-0.021846,-0.101803,4.121,
9,24,267,-2.07651,-0.410621,39.7878,0.426461,-0.0203049,-0.102338,4.14,
9,24,267,-2.09075,-0.382686,39.8798,0.425614,-0.0188845,-0.102821,4.159,
9,24,267,-2.10363,-0.359243,39.9683,0.424878,-0.0176921,-0.103242,4.178,
9,24,267,-2.11564,-0.338168,40.0581,0.424141,-0.0166211,-0.103622,4.196,
9,24,267,-2.12771,-0.321523,40.1567,0.423516,-0.0157684,-0.103981,4.216,
9,24,267,-2.14035,-0.30717,40.2648,0.422945,-0.0150265,-0.104332,4.235,
9,24,267,-2.15098,-0.298478,40.3664,0.422522,-0.014571,-0.10463,4.255,
9,24,267,-2.16213,-0.292644,40.4763,0.422172,-0.0142514,-0.104914,4.274,
9,24,267,-2.17462,-0.289281,40.6056,0.421932,-0.0140496,-0.105232,4.296,
9,24,267,-2.18475,-0.288419,40.7133,0.421896,-0.0139757,-0.105479,4.317,
9,24,267,-2.19575,-0.288801,40.8322,0.421675,-0.0139591,-0.105741,4.335,
9,24,267,-2.20683,-0.289309,40.9518,0.421472,-0.0139474,-0.105998,4.354,
9,24,267,-2.21882,-0.292501,41.0831,0.421343,-0.0140622,-0.106276,4.374,
9,24,267,-2.23058,-0.297812,41.2176,0.421288,-0.0142785,-0.106546,4.393,
9,24,267,-2.24192,-0.304747,41.3519,0.420478,-0.0145706,-0.106791,4.414,
9,24,267,-2.25352,-0.313129,41.4854,0.419392,-0.0149283,-0.107033,4.435,
9,24,267,-2.26398,-0.322786,41.6142,0.418103,-0.0153482,-0.107246,4.452,
9,24,267,-2.27546,-0.335457,41.7558,0.416428,-0.0159052,-0.107481,4.472,
9,24,267,-2.28762,-0.353617,41.9098,0.414532,-0.016711,-0.107698,4.494,
9,24,267,-2.29807,-0.374055,42.0535,0.412986,-0.0176256,-0.107877,4.517,
9,24,267,-2.30642,-0.399076,42.1862,0.411881,-0.0187532,-0.107974,4.535,
9,24,267,-2.31335,-0.429771,42.3135,0.411329,-0.0201404,-0.108004,4.555,
9,24,267,-2.31897,-0.466733,42.4432,0.411329,-0.0218146,-0.107982,4.574,
9,24,267,-2.322,-0.507107,42.5581,0.412728,-0.023644,-0.107864,4.593,
9,24,267,-2.3229,-0.558393,42.6803,0.415839,-0.0259666,-0.107627,4.612,
9,24,267,-2.31983,-0.618379,42.7984,0.420681,-0.0286813,-0.107214,4.633,
9,24,267,-2.31457,-0.680029,42.9076,0.426498,-0.031464,-0.106721,4.652,
9,24,267,-2.30485,-0.747314,43.0106,0.433548,-0.034501,-0.10605,4.67,
9,24,267,-2.29096,-0.821599,43.1122,0.441851,-0.0378412,-0.105178,4.688,
9,24,267,-2.26668,-0.9227,43.2364,0.45389,-0.0423788,-0.103795,4.709,
9,24,267,-2.24348,-1.00287,43.3267,0.463389,-0.0459627,-0.102533,4.733,
9,24,267,-2.21622,-1.08389,43.4107,0.472631,-0.0495754,-0.101104,4.751,
9,24,267,-2.18386,-1.16885,43.4942,0.482516,-0.0533505,-0.0994449,4.77,
9,24,267,-2.14647,-1.25726,43.5821,0.491978,-0.0572542,-0.097544,4.79,
9,24,267,-2.10719,-1.33873,43.6564,0.500612,-0.0608531,-0.0956103,4.81,
9,24,267,-2.05903,-1.42862,43.7334,0.510222,-0.0648069,-0.093264,4.831,
9,24,267,-2.00749,-1.51558,43.8069,0.518487,-0.0686139,-0.0907767,4.851,
9,24,267,-1.94637,-1.60799,43.8818,0.527287,-0.0726506,-0.0878673,4.872,
9,24,267,-1.89021,-1.68597,43.9453,0.534282,-0.0760427,-0.0852124,4.894,
9,24,267,-1.82681,-1.7668,44.012,0.54102,-0.0795392,-0.0822287,4.914,
9,24,267,-1.76327,-1.84118,44.0731,0.5468,-0.0827436,-0.0792571,4.934,
9,24,267,-1.7048,-1.90433,44.1226,0.551145,-0.0854641,-0.0765466,4.953,
9,24,267,-1.63643,-1.97324,44.1787,0.555231,-0.0884109,-0.0733797,4.972,
9,24,267,-1.57524,-2.03046,44.2242,0.557993,-0.0908544,-0.0705625,4.991,
9,24,267,-1.51332,-2.08445,44.2668,0.55976,-0.0931512,-0.0677205,5.009,
9,24,267,-1.4545,-2.13251,44.304,0.560349,-0.0951898,-0.0650303,5.028,
9,24,267,-1.39673,-2.17681,44.3376,0.560349,-0.0970638,-0.062395,5.047,
9,24,267,-1.34095,-2.21697,44.3666,0.558895,-0.0987619,-0.0598602,5.066,
9,24,267,-1.29182,-2.25065,44.3913,0.556888,-0.100179,-0.0576298,5.084,
9,24,267,-1.24269,-2.28218,44.4124,0.554145,-0.101511,-0.0554081,5.102,
9,24,267,-1.19561,-2.31184,44.4328,0.551476,-0.102753,-0.053278,5.123,
9,24,267,-1.15647,-2.33526,44.4482,0.549341,-0.103732,-0.0515096,5.145,
9,24,267,-1.12421,-2.35397,44.4603,0.548052,-0.104511,-0.050053,5.164,
9,24,267,-1.09305,-2.37173,44.473,0.547408,-0.105246,-0.0486462,5.183,
9,24,267,-1.06389,-2.38802,44.485,0.547408,-0.105918,-0.0473296,5.202,
9,24,267,-1.03297,-2.4048,44.4982,0.548604,-0.106606,-0.045934,5.222,
9,24,267,-1.00258,-2.42096,44.5124,0.550132,-0.107263,-0.0445623,5.242,
9,24,267,-0.969997,-2.43783,44.5281,0.551955,-0.107947,-0.0430926,5.261,
9,24,267,-0.935819,-2.45502,44.5459,0.553667,-0.108639,-0.0415514,5.283,
9,24,267,-0.898309,-2.47343,44.5679,0.555084,-0.109372,-0.03986,5.302,
9,24,267,-0.865777,-2.48932,44.5902,0.556023,-0.109993,-0.0383916,5.322,
9,24,267,-0.833629,-2.50503,44.6175,0.55663,-0.110595,-0.0369379,5.341,
9,24,267,-0.803499,-2.52028,44.6502,0.556815,-0.111164,-0.0355722,5.361,
9,24,267,-0.779235,-2.53349,44.6875,0.556815,-0.111634,-0.0344654,5.382,
9,24,267,-0.760612,-2.54514,44.7303,0.556815,-0.112022,-0.0336058,5.401,
9,24,267,-0.747811,-2.55519,44.7783,0.556815,-0.112338,-0.0330041,5.42,
9,24,267,-0.741023,-2.56366,44.8314,0.556815,-0.112574,-0.032666,5.439,
9,24,267,-0.741447,-2.57151,44.9003,0.556815,-0.112749,-0.0326358,5.459,
9,24,267,-0.748966,-2.57655,44.9696,0.556907,-0.112819,-0.0329227,5.478,
9,24,267,-0.768283,-2.57963,45.0554,0.557017,-0.112759,-0.0337129,5.499,
9,24,267,-0.800858,-2.57978,45.1639,0.557128,-0.112558,-0.0350761,5.521,
9,24,267,-0.841184,-2.57592,45.2695,0.555508,-0.112187,-0.0367732,5.544,
9,24,267,-0.886704,-2.56776,45.3672,0.553759,-0.11167,-0.038704,5.566,
9,24,267,-0.941391,-2.55535,45.4681,0.551807,-0.110954,-0.0410211,5.586,
9,24,267,-1.00049,-2.53784,45.5629,0.549967,-0.110057,-0.0435365,5.606,
9,24,267,-1.05597,-2.51807,45.6444,0.548641,-0.109103,-0.045903,5.627,
9,24,267,-1.10577,-2.49735,45.7096,0.547997,-0.108128,-0.0480272,5.647,
9,24,267,-1.15318,-2.47411,45.7636,0.547997,-0.107068,-0.0500544,5.666,
9,24,267,-1.19713,-2.4489,45.8032,0.549525,-0.105951,-0.0519414,5.684,
9,24,267,-1.24194,-2.41863,45.8282,0.551292,-0.104648,-0.0538804,5.704,
9,24,267,-1.28628,-2.38414,45.8355,0.552617,-0.103184,-0.0558096,5.725,
9,24,267,-1.33183,-2.34539,45.8199,0.552691,-0.101566,-0.0578087,5.745,
9,24,267,-1.37664,-2.305,45.788,0.55131,-0.099885,-0.0597831,5.765,
9,24,267,-1.42376,-2.25945,45.7366,0.547721,-0.0979966,-0.0618703,5.783,
9,24,267,-1.47471,-2.20714,45.6623,0.542014,-0.095829,-0.0641369,5.803,
9,24,267,-1.52873,-2.14915,45.5687,0.533527,-0.0934309,-0.0665547,5.822,
9,24,267,-1.59575,-2.07151,45.4312,0.520696,-0.0902031,-0.0695631,5.843,
9,24,267,-1.66058,-1.99107,45.2781,0.50573,-0.0868746,-0.0725101,5.865,
9,24,267,-1.71194,-1.92268,45.1465,0.492273,-0.0840273,-0.074854,5.88,
